"id","name","region","size","climat","population","points","residential and adjacent spaces","street networks","green spaces","public and business infrastructure and adjacent spaces","social and leisure infrastructure and adjacent spaces","citywide space","img"
"55","Новотроицк","Оренбургская область","Средний город","условно комфортный климат","83,6 тыс.чел.","178","43","32","18","26","29","30","https://api.индекс-городов.рф/uploads/city/emblem/4240/thumb_898_Novotroitsk.png"
"56","Бодайбо","Иркутская область","Малый город","тяжелые климатические условия","12 тыс.чел.","160","19","30","37","18","23","33","https://api.индекс-городов.рф/uploads/city/emblem/3427/thumb_82_bodaibo.png"
"57","Удомля","Тверская область","Малый город","условно комфортный климат","27,2 тыс.чел.","187","45","31","23","30","24","34","https://api.индекс-городов.рф/uploads/city/emblem/4033/thumb_690_udomlya.png"
"58","Йошкар-Ола","Республика Марий Эл","Крупный город","условно комфортный климат","274,7 тыс.чел.","177","35","25","26","27","27","37","https://api.индекс-городов.рф/uploads/city/emblem/4354/thumb_1012_Yoshkar-Ola.png"
"59","Заволжье","Нижегородская область","Малый город","условно комфортный климат","37,6 тыс.чел.","196","49","35","22","25","35","30","https://api.индекс-городов.рф/uploads/city/emblem/3551/thumb_206_Zavolzhie.png"
"60","Камышин","Волгоградская область","Большой город","условно комфортный климат","109,9 тыс.чел.","185","34","38","23","24","31","35","https://api.индекс-городов.рф/uploads/city/emblem/4284/thumb_942_Kamyshin.gif"
"61","Кедровый","Томская область","Малый город","условно комфортный климат","1,9 тыс.чел.","177","41","35","17","12","22","50","https://api.индекс-городов.рф/uploads/city/emblem/3618/thumb_274_Kedrovi.png"
"62","Абдулино","Оренбургская область","Малый город","условно комфортный климат","18,6 тыс.чел.","143","33","19","12","22","18","39","https://api.индекс-городов.рф/uploads/city/emblem/3347/thumb_2_Abdulino.png"
"63","Богданович","Свердловская область","Малый город","условно комфортный климат","29,3 тыс.чел.","190","39","45","25","26","27","28","https://api.индекс-городов.рф/uploads/city/emblem/3422/thumb_77_bogdanovich.png"
"64","Чермоз","Пермский край","Малый город","условно комфортный климат","3,3 тыс.чел.","159","20","25","32","20","25","37","https://api.индекс-городов.рф/uploads/city/emblem/4070/thumb_728_chermoz.png"
"65","Верея","Московская область","Малый город","условно комфортный климат","5,1 тыс.чел.","191","31","32","29","35","28","36","https://api.индекс-городов.рф/uploads/city/emblem/3450/thumb_105_vereya.png"
"66","Пущино","Московская область","Малый город","условно комфортный климат","20,7 тыс.чел.","215","52","30","30","28","33","42","https://api.индекс-городов.рф/uploads/city/emblem/3895/thumb_552_Puschino.png"
"67","Западная Двина","Тверская область","Малый город","условно комфортный климат","7,8 тыс.чел.","154","17","24","26","26","22","39","https://api.индекс-городов.рф/uploads/city/emblem/3556/thumb_211_Zapadnaya_Dvina.png"
"68","Жиздра","Калужская область","Малый город","условно комфортный климат","5,4 тыс.чел.","161","38","36","18","20","24","25","https://api.индекс-городов.рф/uploads/city/emblem/3544/thumb_199_zhizdra.png"
"69","Красноуральск","Свердловская область","Малый город","условно комфортный климат","22,5 тыс.чел.","169","35","35","28","15","26","30","https://api.индекс-городов.рф/uploads/city/emblem/3676/thumb_333_krasnouralsk.png"
"70","Советск","Калининградская область","Малый город","условно комфортный климат","39 тыс.чел.","202","37","53","24","19","35","34","https://api.индекс-городов.рф/uploads/city/emblem/3949/thumb_606_sovetsk.png"
